harga,luas tanah,luas bangunan,kamar tidur,kapasitas parkir
1415000000,71,89,3,1
1590400000,72,126,4,2
875000000,77,70,3,1
1185000000,66,70,3,1
933880000,60,72,2,2
1314210000,80,76,3,1
1465082478,88,54,3,1
1650726000,82,82,3,1
1741200000,60,132,3,1
1793372000,75,122,3,2
2416000000,72,88,3,1
3134700000,105,121,4,2
1206450000,60,85,2,1
1225000000,68,78,3,1
1366100000,72,67,4,1
806500000,71,51,3,1
1250000000,85,105,4,1
2756598000,128,49,4,2
1000000000,78,40,2,1
764705882,36,60,3,1
1400000000,70,98,3,1
1482000000,84,88,3,2
1263000000,80,69,3,1
1496000000,72,80,4,1
845000000,45,90,2,2
1525900000,60,56,2,2
2338419200,84,92,3,1
1490000000,78,69,2,1
900000000,69,67,2,1
1675000000,62,58,3,1
777000000,90,80,3,1
1250000000,236,190,3,3
1990000000,55,50,3,1
120000000,72,36,2,1
170000000,72,24,1,1
3300000000,200,180,4,2
300000000,150,50,2,1
6000000000,365,418,6,2
315000000,115,45,2,1
599000000,170,170,3,1
475000000,150,110,4,1
985000000,135,90,3,1
2000000000,105,80,3,2
2000000000,147,150,4,1
695000000,136,55,2,2
650000000,150,100,2,1
400000000,171,45,2,2
775000000,80,84,3,1
750000000,144,93,3,1
689000000,132,90,2,2
